user,movie,rating
Anonymous_000,spider-man 2,5
Anonymous_000,men in black,5
Anonymous_000,pulp fiction,5
Anonymous_000,the amazing spider-man,5
Anonymous_000,the amazing spider-man 2,5
Anonymous_000,the joy luck club,4
Anonymous_000,once upon a time in america,4
Anonymous_000,deadpool,3
Anonymous_000,the lord of the rings: the return of the king,5
Anonymous_000,twilight,4
Anonymous_000,9,5
Anonymous_000,howl's moving castle,5
Anonymous_000,spirited away,5
Anonymous_000,porco rosso,5
Anonymous_000,a chinese ghost story,5
Anonymous_000,ashes of time,5
Anonymous_000,titanic,5
Anonymous_001,old boy,5
Anonymous_002,the avengers,5
Anonymous_003,love letter,5
Anonymous_004,the irishman,4
Anonymous_001,don't worry darling,2
Anonymous_005,the dark knight,5
Anonymous_006,don't worry darling,4
Anonymous_007,the irishman,4
Anonymous_008,the silence of the lambs,5
Anonymous_002,bullet train,4
Anonymous_004,spider-man 2,2
Anonymous_009,the curious case of benjamin button,5
Anonymous_001,barbarians,4
Anonymous_006,it,5
Anonymous_005,inception,5
Anonymous_010,hunt for the wilderpeople,5
Anonymous_007,spider-man 2,2
Anonymous_001,x,3
Anonymous_005,interstellar,4
Anonymous_009,interstellar,5
Anonymous_004,the little prince,5
Anonymous_006,enola holmes 2,5
Anonymous_011,spider-man 2,4
Anonymous_007,portrait of a lady on fire,4
Anonymous_012,terminator 1,5
Anonymous_013,to all the boys i've loved before,4
Anonymous_004,men in black,3
Anonymous_014,big fish,5
Anonymous_010,moneyball,4
Anonymous_005,tenet,2
Anonymous_012,terminator 2,5
Anonymous_015,annabelle,5
Anonymous_016,men in black,4
Anonymous_017,life of brian,4
Anonymous_018,skyfall,5
Anonymous_014,harry potter,5
Anonymous_005,memento,4
Anonymous_011,skyfall,4
Anonymous_019,avatar,4
Anonymous_020,the irishman,4
Anonymous_002,2012,5
Anonymous_021,to all the boys i've loved before,2
Anonymous_022,interstellar,5
Anonymous_023,spider-man,4
Anonymous_010,men in black,4
Anonymous_024,green book,4
Anonymous_013,parasite,5
Anonymous_015,the conjuring,4
Anonymous_025,black panther,3
Anonymous_026,skyfall,4
Anonymous_011,the little prince,5
Anonymous_027,the wolf of wall street,5
Anonymous_007,fight club,5
Anonymous_002,world war z,5
Anonymous_028,the imitation game,5
Anonymous_029,kung fu panda,4
Anonymous_016,the bridges of madison county,3
Anonymous_001,scooby doo 2: monsters unleashed,5
Anonymous_004,the two popes,3
Anonymous_005,fight club,5
Anonymous_015,smile,1
Anonymous_009,inception,5
Anonymous_030,spider-man 2 (2004),4
Anonymous_031,eternal sunshine of the spotless mind,5
Anonymous_020,imitation game,5
Anonymous_023,spider-man 2,4
Anonymous_032,catch me if you can,5
Anonymous_033,nope,3
Anonymous_034,spider-man (2002),5
Anonymous_035,moneyball,5
Anonymous_019,goodfellas,5
Anonymous_010,the white tiger,5
Anonymous_036,spider-man 2,4
Anonymous_011,men in black,4
Anonymous_015,coco,5
Anonymous_037,harry potter,5
Anonymous_038,memories of matsuko,5
Anonymous_007,one night in miami,3
Anonymous_017,casino royale,4
Anonymous_031,the proposal,4
Anonymous_028,spider-man,3
Anonymous_014,the hunger games,2
Anonymous_024,argo,5
Anonymous_001,el camino,4
Anonymous_018,kung fu panda,5
Anonymous_006,parasite,5
Anonymous_004,a clockwork orange,5
Anonymous_039,klaus,5
Anonymous_025,eternals,3
Anonymous_002,the cabin in the woods,4
Anonymous_040,farewell my concubine,5
Anonymous_001,chinatown,5
Anonymous_019,parasite,4
Anonymous_041,the shawshank redemption,5
Anonymous_021,spider-man 2,5
Anonymous_022,batman: the dark knight,5
Anonymous_029,the imitation game,5
Anonymous_030,the little prince (2015),4
Anonymous_037,minions,5
Anonymous_010,imitation game,5
Anonymous_042,finch,5
Anonymous_036,skyfall (2012),5
Anonymous_031,home alone,5
Anonymous_006,cast away,5
Anonymous_023,skyfall,4
Anonymous_043,kung fu panda,5
Anonymous_041,the godfather,5
Anonymous_026,the imitation game,5
Anonymous_040,the shawshank redemption,5
Anonymous_030,men in black (1997),5
Anonymous_020,el camino: a breaking bad movie,5
Anonymous_011,spider-man,4
Anonymous_029,notting hill,4
Anonymous_001,the other guys,4
Anonymous_044,fight club,5
Anonymous_025,bullet train,4
Anonymous_028,kung fu panda,4
Anonymous_021,the little prince,5
Anonymous_045,moneyball,5
Anonymous_010,the trial of the chicago 7,5
Anonymous_023,sand storm,4
Anonymous_022,tenet,3
Anonymous_046,kung fu panda,5
Anonymous_047,the little prince,4
Anonymous_003,monty python and the holy grail,4
Anonymous_036,the little prince (2015),4
Anonymous_015,the soul,5
Anonymous_019,interstellar,5
Anonymous_048,napoleon dynamite,2
Anonymous_037,soul,5
Anonymous_049,the invisible guest,5
Anonymous_016,the wolf of wall street,4
Anonymous_024,sleepless in seattle,3
Anonymous_008,skyfall,4
Anonymous_031,the silence of the lambs,5
Anonymous_006,prey,4
Anonymous_014,big fish & begonia,5
Anonymous_009,fight club,5
Anonymous_013,portrait of a lady on fire,5
Anonymous_039,spider-man 2,5
Anonymous_001,macbeth,4
Anonymous_023,men in black,5
Anonymous_040,dunkirk,1
Anonymous_047,men in black,4
Anonymous_042,spider-man 2,5
Anonymous_041,schindler's list,5
Anonymous_024,flipped,4
Anonymous_050,parasite,5
Anonymous_008,harry potter,5
Anonymous_038,malèna,5
Anonymous_051,to all the boys i've loved before,4
Anonymous_029,phantom thread,3
Anonymous_005,the shape of water,3
Anonymous_052,the imitation game (2014),5
Anonymous_049,the silence of the lambs,5
Anonymous_017,the usual suspects,3
Anonymous_001,the northman,4
Anonymous_053,coco,5
Anonymous_040,inception,5
Anonymous_035,hush,4
Anonymous_032,roman holiday,4
Anonymous_050,the little prince,4
Anonymous_054,spider man: into the spider-verse,5
Anonymous_006,memories of murder,5
Anonymous_055,a charlie brown christmas,4
Anonymous_009,shining,5
Anonymous_011,kung fu panda,5
Anonymous_026,kung fu panda,5
Anonymous_056,dead poets society,5
Anonymous_003,atlantics,3
Anonymous_019,cast away,4
Anonymous_041,inception,5
Anonymous_030,the imitation game (2014),5
Anonymous_008,hustle,5
Anonymous_010,kung fu panda,2
Anonymous_025,aquaman,3
Anonymous_005,parasite,5
Anonymous_037,the invisible guest,5
Anonymous_049,the shawshank redemption,5
Anonymous_042,hustle (2022),4
Anonymous_018,aliens,5
Anonymous_057,men in black,5
Anonymous_051,my neighbor totoro,5
Anonymous_040,interstellar,5
Anonymous_034,enola holmes 2,4
Anonymous_058,the imitation game,4
Anonymous_022,man of steel,4
Anonymous_054,thor: love and thunder,3
Anonymous_039,hush,5
Anonymous_036,spider-man (2002),4
Anonymous_012,spirited away,5
Anonymous_059,men in black,5
Anonymous_006,booksmart,4
Anonymous_030,spider-man (2002),4
Anonymous_021,always be my maybe,3
Anonymous_060,hurt locker,5
Anonymous_009,the irishman,4
Anonymous_034,barbarian,2
Anonymous_024,begin again,4
Anonymous_029,to all the boys i've loved before,4
Anonymous_039,skyfall,4
Anonymous_014,the hobbit,3
Anonymous_010,it,1
Anonymous_049,triangle,5
Anonymous_007,harry porter,4
Anonymous_002,frozen,4
Anonymous_054,mr. bean's holiday,4
Anonymous_041,star wars: episode iv - a new hope,3
Anonymous_005,the prestige,5
Anonymous_061,men in black,5
Anonymous_012,the dictator,5
Anonymous_037,cars,5
Anonymous_019,predator,3
Anonymous_007,lord of the rings,5
Anonymous_052,kung fu panda (2008),2
Anonymous_013,titane,4
Anonymous_055,the little prince,4
Anonymous_033,everything everywhere all at once,4
Anonymous_025,bubble,4
Anonymous_017,one piece film red,5
Anonymous_062,moneyball,4
Anonymous_040,catch me if you can,5
Anonymous_021,american beauty,5
Anonymous_016,sleeping with the enemy,5
Anonymous_007,the hobbits,4
Anonymous_051,the emperor's new groove,4
Anonymous_008,the little prince,5
Anonymous_001,robocop,3
Anonymous_010,warrior,3
Anonymous_034,smile,5
Anonymous_039,smile,5
Anonymous_020,to all the boys i've loved before,3
Anonymous_011,parasite,5
Anonymous_041,the pianist,3
Anonymous_005,whiplash,5
Anonymous_057,spider-man 2,4
Anonymous_002,smile,2
Anonymous_038,silenced,5
Anonymous_023,one night in miami,4
Anonymous_030,kung fu panda (2008),5
Anonymous_063,persian lessons,5
Anonymous_036,kung fu panda (2008),4
Anonymous_009,spider-man 2,4
Anonymous_064,kung fu panda,5
Anonymous_037,up,5
Anonymous_017,enola holmes,2
Anonymous_004,pulp fiction,5
Anonymous_035,kung fu panda,4
Anonymous_006,the sixth sense,5
Anonymous_039,enola holmes 2,4
Anonymous_051,tangled,4
Anonymous_060,hell or high water,5
Anonymous_024,titanic,4
Anonymous_045,the silence of the lambs,5
Anonymous_050,the imitation game,5
Anonymous_008,the wolf of wall street,5
Anonymous_040,andhadhun,5
Anonymous_001,the social network,4
Anonymous_032,the trueman show,5
Anonymous_051,frozen,5
Anonymous_007,all quiet on the western front,4
Anonymous_030,it (2017),5
Anonymous_012,back to the future,5
Anonymous_016,skyfall,4
Anonymous_009,men in black,5
Anonymous_006,hellraiser (2022),4
Anonymous_054,the avengers,4
Anonymous_052,it (2017),3
Anonymous_019,forrest gump,4
Anonymous_023,the wolf of wall street,5
Anonymous_055,all quiet on the western front,5
Anonymous_010,parasite,5
Anonymous_007,barbarian,3
Anonymous_036,notting hill (1999),5
Anonymous_042,the imitation game (2014),5
Anonymous_034,enola holmes,4
Anonymous_016,mummy returns,5
Anonymous_001,tombstone,5
Anonymous_044,smile,4
Anonymous_040,green book,4
Anonymous_005,howl's moving castle,5
Anonymous_004,"the good, the bad and the ugly",5
Anonymous_037,fast & furious,3
Anonymous_017,parasite,3
Anonymous_062,one piece film red,5
Anonymous_031,bridget jones diary,3
Anonymous_039,gerald's game,2
Anonymous_038,lolita,4
Anonymous_051,mulan,3
Anonymous_035,midsommar,4
Anonymous_029,parasite,3
Anonymous_065,kung fu panda,4
Anonymous_046,fight club,5
Anonymous_066,the imitation game,5
Anonymous_060,the irishman,5
Anonymous_023,manchester by the sea,4
Anonymous_067,the wolf of wall street,4
Anonymous_001,drive,5
Anonymous_022,blade runner 2049,4
Anonymous_061,kung fu panda,4
Anonymous_009,the imitation game,5
Anonymous_005,good will hunting,5
Anonymous_019,titanic,3
Anonymous_012,the seven samurai,4
Anonymous_011,alien,3
Anonymous_042,spider-man (2002),5
Anonymous_032,flipped,5
Anonymous_031,avatar,4
Anonymous_044,spider-man 2,5
Anonymous_043,amazing grace,5
Anonymous_040,ocean's 8,3
Anonymous_006,all quiet on the western front (2022),5
Anonymous_059,predator,2
Anonymous_063,joker,3
Anonymous_060,marriage story,5
Anonymous_068,spider-man 2 (2004),5
Anonymous_062,ticket of paradise,2
Anonymous_024,one day,3
Anonymous_039,the imitation game,4
Anonymous_001,mandy,4
Anonymous_023,hellraiser,4
Anonymous_021,it,4
Anonymous_017,cast away,3
Anonymous_045,the nice guys (2016),5
Anonymous_027,the little prince,4
Anonymous_028,the phantom of the opera,4
Anonymous_006,barbarian,3
Anonymous_044,skyfall,4
Anonymous_031,doctor strange,2
Anonymous_010,plan b,5
Anonymous_041,memento,4
Anonymous_050,kung fu panda,5
Anonymous_002,get out,5
Anonymous_016,the shawshank redemption,5
Anonymous_009,a clockwork orange,5
Anonymous_040,avengers: endgame,3
Anonymous_037,pirates of the caribbean,4
Anonymous_026,the phantom of the opera,2
Anonymous_069,the silence of the lambs,4
Anonymous_039,spider-man,5
Anonymous_051,the princess bride,5
Anonymous_070,atlantics,4
Anonymous_054,suicide squad,3
Anonymous_071,men in black,4
Anonymous_008,the imitation game,5
Anonymous_060,captain phillips,5
Anonymous_062,the imitation game,5
Anonymous_031,avengers,2
Anonymous_006,my policeman,4
Anonymous_014,sherlock,5
Anonymous_072,kung fu panda,5
Anonymous_015,the shawshank redemption,5
Anonymous_019,fight club,4
Anonymous_034,one night in miami,2
Anonymous_073,his house,3
Anonymous_052,the silence of the lambs,3
Anonymous_001,the big lebowksi,5
Anonymous_016,monster in-law,2
Anonymous_010,fight club,5
Anonymous_055,it,5
Anonymous_017,predator,5
Anonymous_048,bird box,5
Anonymous_044,men in black,5
Anonymous_024,about time,5
Anonymous_002,it,3
Anonymous_054,avatar,4
Anonymous_019,shrek,4
Anonymous_018,manchester by the sea,4
Anonymous_040,doctor strange in the multiverse of madness,1
Anonymous_033,interstellar,5
Anonymous_045,the wolf of wall street,5
Anonymous_067,casino royale,4
Anonymous_008,spiderman,5
Anonymous_001,ocean's eleven,4
Anonymous_023,detour,3
Anonymous_013,blue jasmine,5
Anonymous_010,the social network,4
Anonymous_006,see how they run,4
Anonymous_019,antman,4
Anonymous_008,lord of ring,5
Anonymous_073,it follows,3
Anonymous_034,the silence of the lambs,3
Anonymous_063,the invisible guest,5
Anonymous_054,spider-man: homecoming,4
Anonymous_049,the lord of the rings,5
Anonymous_010,die hard,4
Anonymous_057,parasite,3
Anonymous_030,the wolf of wall street,4
Anonymous_020,the social network,4
Anonymous_039,kung fu panda,5
Anonymous_023,small axe: education,3
Anonymous_043,"crouching tiger, hidden dragon",5
Anonymous_011,the silence of the lambs,4
Anonymous_051,men in black,3
Anonymous_060,the nice guys,4
Anonymous_044,spider-man,4
Anonymous_037,"hi, mom",5
Anonymous_027,the imitation game,3
Anonymous_062,enola holmes,3
Anonymous_048,bros,4
Anonymous_017,alien,3
Anonymous_029,the social network,4
Anonymous_052,the wolf of wall street,3
Anonymous_042,kung fu panda (2008),5
Anonymous_054,spider-man: no way home,4
Anonymous_023,love & friendship,3
Anonymous_034,the wolf of wall street,4
Anonymous_074,atlantics,4
Anonymous_032,les choristes,5
Anonymous_013,the imitation game,4
Anonymous_006,the woman king,5
Anonymous_055,the silence of the lambs,5
Anonymous_008,kung fu panda,5
Anonymous_041,your name.,4
Anonymous_049,the hunger games,5
Anonymous_039,it,3
Anonymous_001,licorice pizza,4
Anonymous_035,big hero 6,5
Anonymous_004,frozen,5
Anonymous_060,zero dark thirty,5
Anonymous_043,orphan,5
Anonymous_029,the wolf of wall street,3
Anonymous_030,the northman,4
Anonymous_027,spider-man (2002),5
Anonymous_062,parasite,4
Anonymous_041,3 idiots,4
Anonymous_073,spider-man 2,4
Anonymous_010,jiro dreams of sushi,5
Anonymous_075,the secret life of walter mitty,5
Anonymous_011,the wolf of wall street,3
Anonymous_016,orphan,3
Anonymous_023,the stranger,3
Anonymous_054,the avengers: infinity war,4
Anonymous_004,zootopia,4
Anonymous_017,the fifth element,2
Anonymous_076,inception,5
Anonymous_026,elona holmes,4
Anonymous_074,the irishman,4
Anonymous_018,royal casino,5
Anonymous_005,jack and jill,1
Anonymous_067,the hurt locker,5
Anonymous_058,the silence of the lambs,4
Anonymous_057,green book,4
Anonymous_054,the avengers: endgame,4
Anonymous_037,coco,5
Anonymous_055,the wolf of wall street,5
Anonymous_029,manchester by the sea,4
Anonymous_073,men in black,5
Anonymous_023,smile,3
Anonymous_001,the room,2
Anonymous_071,the shawshank redemption,5
Anonymous_059,amazing grace,5
Anonymous_049,3 idiots,5
Anonymous_048,jumanji,5
Anonymous_013,kung fu panda,5
Anonymous_056,"love, rosie",3
Anonymous_042,the mask of zorro (1998),3
Anonymous_043,the shining,4
Anonymous_054,top gun: mavericks,2
Anonymous_010,the silence of the lambs,5
Anonymous_038,hope,5
Anonymous_028,fantastic beasts and where to find them,5
Anonymous_051,the phantom of the opera,2
Anonymous_060,the imitation game,5
Anonymous_017,national treasure,5
Anonymous_057,"three billboards outside ebbing, missouri",5
Anonymous_024,kung fu panda,3
Anonymous_064,the phantom of the opera,4
Anonymous_039,parasite,5
Anonymous_016,lord of the rings,5
Anonymous_010,the wolf of wall street,5
Anonymous_073,spider-man,5
Anonymous_034,fight club,1
Anonymous_030,candyman,3
Anonymous_005,bad words,2
Anonymous_021,wolfwalkers,4
Anonymous_071,the time traveler's wife,5
Anonymous_043,united 93,5
Anonymous_055,manchester by the sea,5
Anonymous_067,moneyball,3
Anonymous_023,"murder, anyone?",4
Anonymous_072,the little prince,5
Anonymous_074,spider-man 2,3
Anonymous_062,the social network,4
Anonymous_017,national treasure book of secrets,4
Anonymous_008,the shining,1
Anonymous_015,it,3
Anonymous_054,the glass castle,4
Anonymous_047,wolfwalkers,5
Anonymous_060,full metal jacket,5
Anonymous_026,pride and prejudice,5
Anonymous_027,kung fu panda,5
Anonymous_032,zootopia,3
Anonymous_013,notting hill,4
Anonymous_012,the elephant man,4
Anonymous_041,catch me if you can,5
Anonymous_010,the big sick,4
Anonymous_054,dune,3
Anonymous_004,bullet train,5
Anonymous_002,the mist,5
Anonymous_071,iron man,5
Anonymous_065,the silence of the lambs,5
Anonymous_073,kung fu panda,4
Anonymous_056,the little prince,5
Anonymous_067,captain phillips,5
Anonymous_038,let the bullets fly,5
Anonymous_060,on body and soul,5
Anonymous_023,pearl,4
Anonymous_063,fall,3
Anonymous_001,the village,3
Anonymous_033,my neighbor totoro,5
Anonymous_005,scream 2,5
Anonymous_016,minions: the rise of gru,5
Anonymous_047,a charlie brown christmas,5
Anonymous_030,the phantom of the opera,5
Anonymous_048,mean girls,5
Anonymous_074,skyfall,3
Anonymous_071,inception,5
Anonymous_067,spider-man 2,4
Anonymous_037,a beautiful mind,4
Anonymous_070,kung fu panda,2
Anonymous_073,it,4
Anonymous_054,shang-chi,2
Anonymous_001,old,1
Anonymous_062,the wolf of wall street,5
Anonymous_065,an american werewolf in london,3
Anonymous_036,a charlie brown christmas,3
Anonymous_027,notting hill,5
Anonymous_035,spider-man: into the spider-verse,5
Anonymous_063,smile,2
Anonymous_012,minions,5
Anonymous_042,wonder woman (2017),4
Anonymous_038,i want to eat your pancreas,1
Anonymous_067,skyfall,5
Anonymous_034,the handmaiden,3
Anonymous_060,the trial of the chicago 7,5
Anonymous_068,spider-man (2002),5
Anonymous_077,spider-man 2(2004),5
Anonymous_021,cabin in the woods,5
Anonymous_029,the phantom of the opera,5
Anonymous_008,flipped,5
Anonymous_071,interstellar,5
Anonymous_054,the social network,3
Anonymous_005,ford v ferrari,4
Anonymous_065,manchester by the sea,5
Anonymous_021,it 2,5
Anonymous_039,the good nurse,4
Anonymous_067,men in black,5
Anonymous_045,fight club,5
Anonymous_078,parasite,5
Anonymous_033,coco,5
Anonymous_060,the two popes,5
Anonymous_028,fantastic beasts and where to find them 2,4
Anonymous_059,the wolf of wall street,5
Anonymous_042,wonder woman 1984 (2020),2
Anonymous_048,nope,4
Anonymous_053,interstellar,2
Anonymous_074,men in black,4
Anonymous_037,ready player one,2
Anonymous_024,the grand budapest hotel,5
Anonymous_032,three idiots,5
Anonymous_055,fight club,5
Anonymous_054,up,5
Anonymous_034,parasite,4
Anonymous_048,us,5
Anonymous_005,ratatouille,5
Anonymous_026,thor: god of thunder,4
Anonymous_041,spotlight,2
Anonymous_020,all quiet on the western front,5
Anonymous_013,the silence of the lambs,4
Anonymous_006,we need to talk about kevin,4
Anonymous_042,man of steel (2013),4
Anonymous_036,black adam (2022),4
Anonymous_001,superbad,5
Anonymous_054,beauty and the beast,4
Anonymous_056,the handmaiden,5
Anonymous_059,spider-man,5
Anonymous_067,all quiet on the western front,5
Anonymous_031,the wolf of wall street,3
Anonymous_026,hamilton,5
Anonymous_076,kung fu hustle,5
Anonymous_062,casino royale,5
Anonymous_060,a clockwise orange,3
Anonymous_073,a charlie brown christmas,4
Anonymous_070,the father,5
Anonymous_024,the wolf of wall street,3
Anonymous_057,the social network,4
Anonymous_071,titanic,5
